2026-03-01 13:48:54,315 | INFO | Episode 120/8000 | Avg Reward: 127.65 | Avg Length: 238.70 | Avg Loss: 243.1938 | Avg Found Sources: 3.90 | Success Rate: 90.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.19, collision=-0.02, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=1.13, failure_done=-0.00
2026-03-01 13:49:26,442 | INFO | Episode 130/8000 | Avg Reward: 97.81 | Avg Length: 383.70 | Avg Loss: 82.7210 | Avg Found Sources: 3.70 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.35, failure_done=-0.00
2026-03-01 13:50:29,643 | INFO | Episode 10/8000 | Avg Reward: 9.82 | Avg Length: 504.70 | Avg Loss: 0.6712 | Avg Found Sources: 1.30 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 13:51:09,466 | INFO | Episode 20/8000 | Avg Reward: 38.29 | Avg Length: 504.60 | Avg Loss: 30.4577 | Avg Found Sources: 2.30 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.12, failure_done=-0.01
2026-03-01 13:51:57,160 | INFO | Episode 30/8000 | Avg Reward: -15.71 | Avg Length: 570.90 | Avg Loss: 1.4838 | Avg Found Sources: 1.80 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-01 13:52:44,308 | INFO | Episode 40/8000 | Avg Reward: 12.83 | Avg Length: 577.80 | Avg Loss: 1.0762 | Avg Found Sources: 2.30 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 13:53:15,435 | INFO | Episode 50/8000 | Avg Reward: 73.44 | Avg Length: 383.30 | Avg Loss: 104.3005 | Avg Found Sources: 3.00 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.08, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.43, failure_done=-0.00
2026-03-01 13:53:52,708 | INFO | Episode 60/8000 | Avg Reward: 75.67 | Avg Length: 469.50 | Avg Loss: 50.5689 | Avg Found Sources: 3.40 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.21, failure_done=-0.00
2026-03-01 13:54:36,674 | INFO | Episode 70/8000 | Avg Reward: 19.89 | Avg Length: 551.60 | Avg Loss: 18.8855 | Avg Found Sources: 2.50 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.07, failure_done=-0.01
2026-03-01 13:55:23,460 | INFO | Episode 80/8000 | Avg Reward: 46.62 | Avg Length: 591.80 | Avg Loss: 18.4597 | Avg Found Sources: 2.60 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.07, failure_done=-0.01
