2026-02-26 01:51:11,649 | INFO | Episode 660/5000 | Avg Reward: 17.98 | Avg Length: 296.00 | Avg Loss: 12.4958 | Avg Found Sources: 1.70 | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.08, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:51:32,703 | INFO | Episode 670/5000 | Avg Reward: 18.88 | Avg Length: 341.40 | Avg Loss: 5.0606 | Avg Found Sources: 2.10 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.06, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.01
2026-02-26 01:51:53,653 | INFO | Episode 680/5000 | Avg Reward: 16.77 | Avg Length: 335.00 | Avg Loss: 4.8399 | Avg Found Sources: 1.80 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.05, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.01
2026-02-26 01:52:14,195 | INFO | Episode 690/5000 | Avg Reward: 14.76 | Avg Length: 328.00 | Avg Loss: 7.7192 | Avg Found Sources: 1.40 | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.05, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:52:34,636 | INFO | Episode 700/5000 | Avg Reward: 28.16 | Avg Length: 327.10 | Avg Loss: 8.6011 | Avg Found Sources: 2.50 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:52:54,540 | INFO | Episode 710/5000 | Avg Reward: 32.50 | Avg Length: 319.80 | Avg Loss: 10.1529 | Avg Found Sources: 2.70 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:53:14,909 | INFO | Episode 720/5000 | Avg Reward: 20.22 | Avg Length: 334.70 | Avg Loss: 5.3308 | Avg Found Sources: 2.00 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.06, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.01
2026-02-26 01:53:33,889 | INFO | Episode 730/5000 | Avg Reward: 39.98 | Avg Length: 305.40 | Avg Loss: 17.1943 | Avg Found Sources: 2.90 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=0.00, battery=-0.00, distance=0.00, success_done=0.04, failure_done=-0.01
2026-02-26 01:53:52,642 | INFO | Episode 740/5000 | Avg Reward: 44.06 | Avg Length: 299.80 | Avg Loss: 18.1938 | Avg Found Sources: 2.90 | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=0.00, battery=-0.00, distance=0.00, success_done=0.05, failure_done=-0.01
2026-02-26 01:54:13,440 | INFO | Episode 750/5000 | Avg Reward: 22.99 | Avg Length: 331.70 | Avg Loss: 5.8847 | Avg Found Sources: 2.30 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.07, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-26 01:54:34,620 | INFO | Episode 760/5000 | Avg Reward: 15.78 | Avg Length: 348.10 | Avg Loss: 3.8193 | Avg Found Sources: 1.70 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.05, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.01
2026-02-26 01:54:53,370 | INFO | Episode 770/5000 | Avg Reward: 38.48 | Avg Length: 300.50 | Avg Loss: 21.5503 | Avg Found Sources: 2.80 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.12, collision=0.00, battery=-0.00, distance=0.00, success_done=0.05, failure_done=-0.01
2026-02-26 01:55:12,345 | INFO | Episode 780/5000 | Avg Reward: 24.65 | Avg Length: 300.70 | Avg Loss: 13.9113 | Avg Found Sources: 2.20 | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:55:30,866 | INFO | Episode 790/5000 | Avg Reward: 35.64 | Avg Length: 296.70 | Avg Loss: 14.7268 | Avg Found Sources: 2.90 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:55:50,659 | INFO | Episode 800/5000 | Avg Reward: 26.85 | Avg Length: 316.70 | Avg Loss: 12.7588 | Avg Found Sources: 2.40 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
