2026-03-14 11:35:51,594 | INFO | Run Config | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on
2026-03-14 12:48:35,698 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 40/3000 | Avg Reward: -15.89 | Avg Length: 901.20 | Avg Loss: 234.9258 | Avg Found Sources: 1.20 | Avg Found Ratio: 37.50% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=1.00, failure_done=0.00
2026-03-14 12:49:41,783 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 50/3000 | Avg Reward: -28.95 | Avg Length: 1000.00 | Avg Loss: 1.4511 | Avg Found Sources: 0.90 | Avg Found Ratio: 11.85% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.00, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 12:50:53,004 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 60/3000 | Avg Reward: -7.27 | Avg Length: 901.70 | Avg Loss: 165.7070 | Avg Found Sources: 1.40 | Avg Found Ratio: 37.75% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.04, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.71, failure_done=0.00
2026-03-14 12:52:12,600 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 70/3000 | Avg Reward: 2.46 | Avg Length: 1000.00 | Avg Loss: 1.0831 | Avg Found Sources: 0.70 | Avg Found Ratio: 15.17% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.03, found=0.00, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 12:53:19,130 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 80/3000 | Avg Reward: 14.43 | Avg Length: 901.90 | Avg Loss: 153.4502 | Avg Found Sources: 0.90 | Avg Found Ratio: 24.29% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.63, failure_done=0.00
2026-03-14 12:54:21,749 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 90/3000 | Avg Reward: 34.93 | Avg Length: 900.40 | Avg Loss: 510.1545 | Avg Found Sources: 1.20 | Avg Found Ratio: 30.83% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.13, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=3.00, failure_done=0.00
2026-03-14 12:55:30,022 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 100/3000 | Avg Reward: 7.43 | Avg Length: 1000.00 | Avg Loss: 0.2718 | Avg Found Sources: 0.70 | Avg Found Ratio: 14.42% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.00, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 12:56:40,983 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 110/3000 | Avg Reward: 18.84 | Avg Length: 1000.00 | Avg Loss: 0.4090 | Avg Found Sources: 1.70 | Avg Found Ratio: 33.79% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=0.00
2026-03-14 12:57:56,829 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 120/3000 | Avg Reward: 18.65 | Avg Length: 1000.00 | Avg Loss: 0.4520 | Avg Found Sources: 1.60 | Avg Found Ratio: 35.89% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 12:58:57,887 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 130/3000 | Avg Reward: -7.32 | Avg Length: 902.10 | Avg Loss: 138.9187 | Avg Found Sources: 1.10 | Avg Found Ratio: 28.17% | Success Rate: 10.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.00, found=0.08, collision=-0.03, battery=-0.00, distance=-0.01, stay_found=-0.00, success_done=0.57, failure_done=0.00
2026-03-14 13:00:06,706 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 140/3000 | Avg Reward: 9.43 | Avg Length: 1000.00 | Avg Loss: 0.5632 | Avg Found Sources: 1.10 | Avg Found Ratio: 22.00% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=0.00
2026-03-14 13:01:07,360 | INFO | seed=456558 | marl=mappo | agent=ppo | net=ffnn | aux=on@0.100 | lr=1.0e-04 | gamma=0.900 | bs=64 | agents=4 | comm=on:los_nlos/k2 | dyn=on | Episode 150/3000 | Avg Reward: 7.90 | Avg Length: 901.10 | Avg Loss: 256.1429 | Avg Found Sources: 1.50 | Avg Found Ratio: 33.02% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=1.09, failure_done=0.00
