2026-03-09 14:42:30,528 | INFO | Episode 430/8000 | Avg Reward: -34.11 | Avg Length: 431.00 | Avg Loss: 9.7021 | Avg Found Sources: 0.80 | Avg Found Ratio: 14.83% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:43:37,268 | INFO | Episode 440/8000 | Avg Reward: 7.18 | Avg Length: 431.00 | Avg Loss: 7.1772 | Avg Found Sources: 0.50 | Avg Found Ratio: 11.67% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.05, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:44:43,537 | INFO | Episode 450/8000 | Avg Reward: -17.98 | Avg Length: 431.00 | Avg Loss: 9.6492 | Avg Found Sources: 0.80 | Avg Found Ratio: 17.30% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.05, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:45:48,175 | INFO | Episode 460/8000 | Avg Reward: -20.15 | Avg Length: 431.00 | Avg Loss: 9.9692 | Avg Found Sources: 0.90 | Avg Found Ratio: 24.17% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:46:54,526 | INFO | Episode 470/8000 | Avg Reward: -15.66 | Avg Length: 431.00 | Avg Loss: 7.8295 | Avg Found Sources: 1.20 | Avg Found Ratio: 20.69% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:48:00,111 | INFO | Episode 480/8000 | Avg Reward: -41.70 | Avg Length: 431.00 | Avg Loss: 13.4891 | Avg Found Sources: 0.50 | Avg Found Ratio: 11.26% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:49:06,676 | INFO | Episode 490/8000 | Avg Reward: -17.91 | Avg Length: 431.20 | Avg Loss: 12.0176 | Avg Found Sources: 0.80 | Avg Found Ratio: 14.58% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.06, found=0.01, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:50:12,211 | INFO | Episode 500/8000 | Avg Reward: -27.23 | Avg Length: 431.10 | Avg Loss: 11.3323 | Avg Found Sources: 1.40 | Avg Found Ratio: 23.71% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:51:15,652 | INFO | Episode 510/8000 | Avg Reward: -5.98 | Avg Length: 431.40 | Avg Loss: 3.6056 | Avg Found Sources: 1.00 | Avg Found Ratio: 21.10% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:52:20,403 | INFO | Episode 520/8000 | Avg Reward: -1.97 | Avg Length: 431.00 | Avg Loss: 4.5832 | Avg Found Sources: 0.70 | Avg Found Ratio: 12.68% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:53:27,438 | INFO | Episode 530/8000 | Avg Reward: 3.27 | Avg Length: 431.00 | Avg Loss: 0.7975 | Avg Found Sources: 0.50 | Avg Found Ratio: 14.35% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:54:26,465 | INFO | Episode 540/8000 | Avg Reward: -0.66 | Avg Length: 389.30 | Avg Loss: 385.2882 | Avg Found Sources: 1.10 | Avg Found Ratio: 27.92% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.06, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=0.86, failure_done=-0.01
2026-03-09 14:55:30,170 | INFO | Episode 550/8000 | Avg Reward: 2.97 | Avg Length: 431.00 | Avg Loss: 4.3722 | Avg Found Sources: 1.10 | Avg Found Ratio: 20.83% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:56:33,321 | INFO | Episode 560/8000 | Avg Reward: -9.40 | Avg Length: 431.00 | Avg Loss: 4.0961 | Avg Found Sources: 0.70 | Avg Found Ratio: 16.79% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:57:39,623 | INFO | Episode 570/8000 | Avg Reward: -5.72 | Avg Length: 431.00 | Avg Loss: 4.5052 | Avg Found Sources: 0.90 | Avg Found Ratio: 18.04% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:58:42,169 | INFO | Episode 580/8000 | Avg Reward: 1.09 | Avg Length: 431.00 | Avg Loss: 4.5787 | Avg Found Sources: 0.60 | Avg Found Ratio: 15.67% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:59:47,232 | INFO | Episode 590/8000 | Avg Reward: -20.38 | Avg Length: 431.00 | Avg Loss: 10.1775 | Avg Found Sources: 1.10 | Avg Found Ratio: 16.79% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 15:00:51,153 | INFO | Episode 600/8000 | Avg Reward: -9.61 | Avg Length: 431.10 | Avg Loss: 4.8679 | Avg Found Sources: 1.40 | Avg Found Ratio: 29.18% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 15:01:56,502 | INFO | Episode 610/8000 | Avg Reward: -6.64 | Avg Length: 431.00 | Avg Loss: 2.8180 | Avg Found Sources: 0.50 | Avg Found Ratio: 16.17% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 15:02:59,543 | INFO | Episode 620/8000 | Avg Reward: -39.31 | Avg Length: 431.00 | Avg Loss: 12.8189 | Avg Found Sources: 0.50 | Avg Found Ratio: 8.76% | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.10, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
