2026-03-11 15:55:12,787 | INFO | Episode 520/8000 | Avg Reward: 5.17 | Avg Length: 625.00 | Avg Loss: 626.2956 | Avg Found Sources: 1.30 | Avg Found Ratio: 30.27% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.57, failure_done=-0.01
2026-03-11 15:57:43,071 | INFO | Episode 530/8000 | Avg Reward: -33.80 | Avg Length: 691.90 | Avg Loss: 8.5814 | Avg Found Sources: 1.50 | Avg Found Ratio: 28.74% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:00:11,189 | INFO | Episode 540/8000 | Avg Reward: 10.48 | Avg Length: 691.90 | Avg Loss: 1.2533 | Avg Found Sources: 1.60 | Avg Found Ratio: 29.00% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:02:41,389 | INFO | Episode 550/8000 | Avg Reward: -16.02 | Avg Length: 691.90 | Avg Loss: 4.9987 | Avg Found Sources: 1.80 | Avg Found Ratio: 35.26% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:05:08,718 | INFO | Episode 560/8000 | Avg Reward: -12.87 | Avg Length: 692.00 | Avg Loss: 4.7572 | Avg Found Sources: 0.90 | Avg Found Ratio: 25.00% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:07:39,770 | INFO | Episode 570/8000 | Avg Reward: -120.58 | Avg Length: 692.00 | Avg Loss: 23.6833 | Avg Found Sources: 1.50 | Avg Found Ratio: 22.50% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.19, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:10:10,720 | INFO | Episode 580/8000 | Avg Reward: -2.87 | Avg Length: 692.00 | Avg Loss: 2.2296 | Avg Found Sources: 1.60 | Avg Found Ratio: 35.33% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:12:40,002 | INFO | Episode 590/8000 | Avg Reward: -40.97 | Avg Length: 691.70 | Avg Loss: 10.2798 | Avg Found Sources: 1.60 | Avg Found Ratio: 35.95% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 16:15:11,447 | INFO | Episode 600/8000 | Avg Reward: -20.84 | Avg Length: 691.90 | Avg Loss: 7.1897 | Avg Found Sources: 2.20 | Avg Found Ratio: 41.50% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.02, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 16:17:28,271 | INFO | Episode 610/8000 | Avg Reward: 10.80 | Avg Length: 623.30 | Avg Loss: 794.7057 | Avg Found Sources: 2.30 | Avg Found Ratio: 48.63% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.12, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.40, failure_done=-0.01
