episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
108,132.204493,582,49.290082,2,2,1.000000,1,1,-0.000296,-0.010309,0.011855,0.002925,0.000000,0.017182,-0.000387,0.206186
109,52.706168,688,1.977913,4,6,0.666667,0,1,-0.000291,0.000000,0.054985,0.000711,-0.007267,0.029070,-0.000600,0.000000
110,107.991433,396,72.957035,6,6,1.000000,1,1,-0.000296,-0.113636,0.004974,0.004391,0.000000,0.075758,-0.001515,0.303030
111,-137.441645,690,7.535754,4,6,0.666667,0,1,-0.000290,-0.232971,0.014547,0.000501,-0.007246,0.028986,-0.002717,0.000000
112,124.378965,52,563.247116,2,2,1.000000,1,1,-0.000295,-0.105769,0.007164,-0.008475,0.000000,0.192308,-0.000721,2.307692
113,-29.676044,690,3.326937,5,8,0.625000,0,1,-0.000290,-0.083696,0.024130,0.001774,-0.007246,0.036232,-0.013913,0.000000
114,129.203707,274,104.752079,2,2,1.000000,1,1,-0.000293,0.000000,0.000415,-0.002481,0.000000,0.036496,-0.000547,0.437956
115,-83.614894,689,4.039095,3,6,0.500000,0,1,-0.000290,-0.147678,0.013295,0.001143,-0.007257,0.021771,-0.002340,0.000000
116,-7.993422,687,0.893858,2,5,0.400000,0,1,-0.000291,-0.021470,0.005341,-0.000801,-0.007278,0.014556,-0.001692,0.000000
117,-22.501911,690,1.196712,2,4,0.500000,0,1,-0.000290,-0.060145,0.019013,0.002379,-0.007246,0.014493,-0.000815,0.000000
118,56.442029,689,0.848009,1,4,0.250000,0,1,-0.000290,-0.003266,0.085751,-0.000004,-0.007257,0.007257,-0.000272,0.000000
119,-39.805446,689,0.582975,0,1,0.000000,0,0,-0.000290,-0.052612,0.001567,0.000820,-0.007257,0.000000,0.000000,0.000000
120,1.224899,690,0.458440,1,3,0.333333,0,1,-0.000290,-0.009058,0.010974,0.001018,-0.007246,0.007246,-0.000870,0.000000
121,79.959544,604,52.097835,8,8,1.000000,1,1,-0.000295,-0.103891,0.052594,0.003946,0.000000,0.066225,-0.084872,0.198675
122,10.079475,690,0.633506,2,3,0.666667,0,1,-0.000290,0.000000,0.010151,-0.002065,-0.007246,0.014493,-0.000435,0.000000
123,-23.089665,689,2.169802,4,5,0.800000,0,1,-0.000290,-0.059869,0.011372,0.001833,-0.007257,0.029028,-0.008327,0.000000
124,-139.646036,690,3.870928,1,6,0.166667,0,1,-0.000290,-0.205072,0.002245,0.000840,-0.007246,0.007246,-0.000109,0.000000
125,-63.770972,690,2.083435,1,3,0.333333,0,1,-0.000290,-0.099638,0.007740,0.001233,-0.007246,0.007246,-0.001467,0.000000
126,-3.828298,691,0.820066,2,5,0.400000,0,1,-0.000289,-0.014834,0.003905,-0.000473,-0.007236,0.014472,-0.001085,0.000000
127,-24.684639,690,1.850195,4,5,0.800000,0,1,-0.000290,-0.056522,0.014295,0.000546,-0.007246,0.028986,-0.015543,0.000000
128,-12.161374,691,1.537662,4,8,0.500000,0,1,-0.000289,-0.055716,0.018270,0.000870,-0.007236,0.028944,-0.002442,0.000000
129,-32.245391,691,1.691571,3,6,0.500000,0,1,-0.000289,-0.069465,0.010916,-0.001919,-0.007236,0.021708,-0.000380,0.000000
130,5.350343,689,0.367606,1,4,0.250000,0,1,-0.000290,-0.001089,0.010927,-0.000857,-0.007257,0.007257,-0.000925,0.000000
131,-33.379267,690,1.355019,3,6,0.500000,0,1,-0.000290,-0.065580,0.003578,0.000021,-0.007246,0.021739,-0.000598,0.000000
132,118.202962,365,79.892828,1,1,1.000000,1,1,-0.000295,-0.031507,0.014618,-0.001438,0.000000,0.013699,0.000000,0.328767
133,-9.663044,690,0.351850,0,1,0.000000,0,0,-0.000290,-0.006884,0.002660,-0.002244,-0.007246,0.000000,0.000000,0.000000
134,29.279456,688,1.029614,3,4,0.750000,0,1,-0.000291,-0.009811,0.042839,0.001336,-0.007267,0.021802,-0.006050,0.000000
135,-2.096735,688,2.058682,3,7,0.428571,0,1,-0.000291,-0.093750,0.077153,-0.000095,-0.007267,0.021802,-0.000600,0.000000
136,137.119266,384,76.966655,6,6,1.000000,1,1,-0.000295,-0.041667,0.009769,0.001676,0.000000,0.078125,-0.003027,0.312500
137,21.020628,689,1.020988,4,5,0.800000,0,1,-0.000290,-0.012700,0.023266,0.001020,-0.007257,0.029028,-0.002558,0.000000
138,14.551726,688,1.340733,3,4,0.750000,0,1,-0.000291,-0.019985,0.033691,0.000777,-0.007267,0.021802,-0.007576,0.000000
139,103.064426,475,65.105523,8,8,1.000000,1,1,-0.000295,-0.116316,0.020155,0.003907,0.000000,0.084211,-0.027316,0.252632
140,0.281995,688,1.470467,4,5,0.800000,0,1,-0.000291,-0.027253,0.013594,0.000460,-0.007267,0.029070,-0.007903,0.000000
