episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
101,122.959522,262,110.013289,2,2,1.000000,1,1,-0.000298,-0.030534,0.002486,0.001761,0.000000,0.038168,-0.000286,0.458015
102,125.417329,487,61.342266,3,3,1.000000,1,1,-0.000297,-0.033368,0.013462,0.001603,0.000000,0.030801,-0.001078,0.246407
103,23.766795,1000,1.958555,5,8,0.625000,0,1,-0.000295,-0.022000,0.021915,0.000497,0.000000,0.025000,-0.001350,0.000000
104,4.927366,1000,0.952846,1,3,0.333333,0,1,-0.000293,0.000000,0.006167,-0.000734,0.000000,0.005000,-0.005213,0.000000
105,-8.109486,1000,0.621311,1,3,0.333333,0,1,-0.000297,-0.017750,0.004255,0.001245,0.000000,0.005000,-0.000562,0.000000
106,1.454343,1000,0.292264,1,3,0.333333,0,1,-0.000293,0.000000,0.001220,-0.000610,0.000000,0.005000,-0.003863,0.000000
107,-38.177178,1000,0.525594,1,4,0.250000,0,1,-0.000294,-0.048750,0.006774,-0.000495,0.000000,0.005000,-0.000412,0.000000
108,-102.532072,1000,1.205336,0,1,0.000000,0,0,-0.000291,-0.103250,0.000262,0.000747,0.000000,0.000000,0.000000,0.000000
109,-38.522565,1000,0.825665,0,2,0.000000,0,0,-0.000292,-0.039250,0.002244,-0.001225,0.000000,0.000000,0.000000,0.000000
110,43.697596,1000,1.721014,6,8,0.750000,0,1,-0.000295,-0.006750,0.022398,-0.000493,0.000000,0.030000,-0.001163,0.000000
111,-82.252970,1000,1.851848,1,8,0.125000,0,1,-0.000290,-0.096000,0.045801,0.000324,0.000000,0.005000,-0.037088,0.000000
112,106.114848,1000,1.450748,3,4,0.750000,0,1,-0.000295,0.000000,0.092110,0.000162,0.000000,0.015000,-0.000862,0.000000
113,-325.088655,1000,6.441701,1,5,0.200000,0,1,-0.000290,-0.330000,0.000885,-0.000646,0.000000,0.005000,-0.000037,0.000000
114,74.062512,1000,1.166404,6,7,0.857143,0,1,-0.000295,0.000000,0.045448,0.000409,0.000000,0.030000,-0.001500,0.000000
115,129.834346,75,390.197788,2,2,1.000000,1,1,-0.000298,-0.020000,0.002211,0.016378,0.000000,0.133333,-0.000500,1.600000
116,-569.025272,1000,10.374554,0,3,0.000000,0,0,-0.000291,-0.567750,0.000339,-0.001323,0.000000,0.000000,0.000000,0.000000
